Author1,Author2,Shared Citations
Murray A. Lampert,Richard S. Crandall,13
W. P. Keirstead,B. A. Huberman,12
Yong Ho Chin,Kwang-Je Kim,32
Yong Ho Chin,Ming Xie,32
Kwang-Je Kim,Ming Xie,32
Erik Lötstedt,Tsuyoshi Kato,7
Erik Lötstedt,Kaoru Yamanouchi,7
Tsuyoshi Kato,Kaoru Yamanouchi,7
S. S. Tayal,Ronald J. W. Henry,15
Alisdair O. G. Wallis,Jeremy M. Hutson,1
S. I. Turovets,A. Valle,10
S. I. Turovets,K. A. Shore,10
A. Valle,K. A. Shore,10
I. Gjaja,A. Bhattacharjee,3
Monika A. M. Marte,H. Ritsch,30
Monika A. M. Marte,D. F. Walls,30
H. Ritsch,D. F. Walls,30
Ivan S. Lim,Peter Schwerdtfeger,33
J. Rouch,P. Tartaglia,17
J. Rouch,S. H. Chen,17
P. Tartaglia,S. H. Chen,17
Matthias Rosenkranz,Weizhu Bao,3
C. Winstead,V. McKoy,7
D. B. Hibbert,J. R. Melrose,56
T. A. B. Kennedy,T. B. Anderson,12
T. A. B. Kennedy,D. F. Walls,12
T. B. Anderson,D. F. Walls,12
Alberto Casado,Agustin Fernandez-Rueda,9
Alberto Casado,Trevor W. Marshall,9
Alberto Casado,Ramon Risco-Delgado,9
Alberto Casado,Emilio Santos,9
Agustin Fernandez-Rueda,Trevor W. Marshall,9
Agustin Fernandez-Rueda,Ramon Risco-Delgado,9
Agustin Fernandez-Rueda,Emilio Santos,9
Trevor W. Marshall,Ramon Risco-Delgado,9
Trevor W. Marshall,Emilio Santos,9
Ramon Risco-Delgado,Emilio Santos,9
R. A. Ganeev,H. Singhal,13
R. A. Ganeev,P. A. Naik,13
R. A. Ganeev,J. A. Chakera,13
R. A. Ganeev,H. S. Vora,13
R. A. Ganeev,R. A. Khan,13
R. A. Ganeev,P. D. Gupta,13
H. Singhal,P. A. Naik,13
H. Singhal,J. A. Chakera,13
H. Singhal,H. S. Vora,13
H. Singhal,R. A. Khan,13
H. Singhal,P. D. Gupta,13
P. A. Naik,J. A. Chakera,13
P. A. Naik,H. S. Vora,13
P. A. Naik,R. A. Khan,13
P. A. Naik,P. D. Gupta,13
J. A. Chakera,H. S. Vora,13
J. A. Chakera,R. A. Khan,13
J. A. Chakera,P. D. Gupta,13
H. S. Vora,R. A. Khan,13
H. S. Vora,P. D. Gupta,13
R. A. Khan,P. D. Gupta,13
K. W. Mahmud,E. Tiesinga,9
E. Shigemasa,K. Ueda,90
E. Shigemasa,Y. Sato,90
E. Shigemasa,T. Sasaki,90
E. Shigemasa,A. Yagishita,90
K. Ueda,Y. Sato,90
K. Ueda,T. Sasaki,90
K. Ueda,A. Yagishita,90
Y. Sato,T. Sasaki,90
Y. Sato,A. Yagishita,90
T. Sasaki,A. Yagishita,90
B. Sheehy,R. Lafon,84
B. Sheehy,M. Widmer,84
B. Sheehy,B. Walker,84
B. Sheehy,L. F. DiMauro,84
B. Sheehy,P. A. Agostini,84
B. Sheehy,K. C. Kulander,84
R. Lafon,M. Widmer,84
R. Lafon,B. Walker,84
R. Lafon,L. F. DiMauro,84
R. Lafon,P. A. Agostini,84
R. Lafon,K. C. Kulander,84
M. Widmer,B. Walker,84
M. Widmer,L. F. DiMauro,84
M. Widmer,P. A. Agostini,84
M. Widmer,K. C. Kulander,84
B. Walker,L. F. DiMauro,84
B. Walker,P. A. Agostini,84
B. Walker,K. C. Kulander,84
L. F. DiMauro,P. A. Agostini,84
L. F. DiMauro,K. C. Kulander,84
P. A. Agostini,K. C. Kulander,84
M. Tanaka,T. Yamagata,5
M. Tanaka,K. Yonehara,5
M. Tanaka,T. Takeuchi,5
M. Tanaka,Y. Arimoto,5
M. Tanaka,M. Fujiwara,5
M. Tanaka,Y. Plis,5
M. Tanaka,L. W. Anderson,5
M. Tanaka,R. Morgenstern,5
T. Yamagata,K. Yonehara,5
T. Yamagata,T. Takeuchi,5
T. Yamagata,Y. Arimoto,5
T. Yamagata,M. Fujiwara,5
T. Yamagata,Y. Plis,5
T. Yamagata,L. W. Anderson,5
T. Yamagata,R. Morgenstern,5
K. Yonehara,T. Takeuchi,5
K. Yonehara,Y. Arimoto,5
K. Yonehara,M. Fujiwara,5
K. Yonehara,Y. Plis,5
K. Yonehara,L. W. Anderson,5
K. Yonehara,R. Morgenstern,5
T. Takeuchi,Y. Arimoto,5
T. Takeuchi,M. Fujiwara,5
T. Takeuchi,Y. Plis,5
T. Takeuchi,L. W. Anderson,5
T. Takeuchi,R. Morgenstern,5
Y. Arimoto,M. Fujiwara,5
Y. Arimoto,Y. Plis,5
Y. Arimoto,L. W. Anderson,5
Y. Arimoto,R. Morgenstern,5
M. Fujiwara,Y. Plis,5
M. Fujiwara,L. W. Anderson,5
M. Fujiwara,R. Morgenstern,5
Y. Plis,L. W. Anderson,5
Y. Plis,R. Morgenstern,5
L. W. Anderson,R. Morgenstern,5
Ingrid Kuen,Herbert Störi,1
Ingrid Kuen,Franz Howorka,1
Herbert Störi,Franz Howorka,1
Dmitry V. Zhdanov,Victor N. Zadkov,12
V. D. Rodríguez,R. O. Barrachina,2
Yeong-Cherng Liang (???),Chu-Wee Lim (???),7
Yeong-Cherng Liang (???),Dong-Ling Deng (???),7
Chu-Wee Lim (???),Dong-Ling Deng (???),7
K. J. Stine,C. W. Garland,54
Aleksei S. Kornev,Boris A. Zon,5
Dhruba J. Biswas,Vas Dev,12
Dhruba J. Biswas,U. K. Chatterjee,12
Vas Dev,U. K. Chatterjee,12
Y. Tikochinsky,N. Z. Tishby,20
Y. Tikochinsky,R. D. Levine,20
N. Z. Tishby,R. D. Levine,20
W. L. Yang,Y. Hu,20
W. L. Yang,Z. Q. Yin,20
W. L. Yang,Z. J. Deng,20
W. L. Yang,M. Feng,20
Y. Hu,Z. Q. Yin,20
Y. Hu,Z. J. Deng,20
Y. Hu,M. Feng,20
Z. Q. Yin,Z. J. Deng,20
Z. Q. Yin,M. Feng,20
Z. J. Deng,M. Feng,20
E. Kierlik,M. L. Rosinberg,221
R. E. Olson,A. Salop,239
Ronald F. Fox,Mee Hyang Choi,9
P. Filipowicz,J. Javanainen,360
P. Filipowicz,P. Meystre,360
J. Javanainen,P. Meystre,360
T. Gottwald,P. G. J. van Dongen,12
B. W. Stenlake,I. C. M. Littler,335
B. W. Stenlake,H.-A. Bachor,335
B. W. Stenlake,K. G. H. Baldwin,335
B. W. Stenlake,P. T. H. Fisk,335
I. C. M. Littler,H.-A. Bachor,335
I. C. M. Littler,K. G. H. Baldwin,335
I. C. M. Littler,P. T. H. Fisk,335
H.-A. Bachor,K. G. H. Baldwin,335
H.-A. Bachor,P. T. H. Fisk,335
K. G. H. Baldwin,P. T. H. Fisk,335
Jon M. Matxain,Jose M. Mercero,16
Jon M. Matxain,Joseph E. Fowler,16
Jon M. Matxain,Jesus M. Ugalde,16
Jose M. Mercero,Joseph E. Fowler,16
Jose M. Mercero,Jesus M. Ugalde,16
Joseph E. Fowler,Jesus M. Ugalde,16
J. Shen,A. Borodin,12
J. Shen,M. Hansen,12
J. Shen,S. Schiller,12
A. Borodin,M. Hansen,12
A. Borodin,S. Schiller,12
M. Hansen,S. Schiller,12
E. Giglio,P.-G. Reinhard,16
E. Giglio,E. Suraud,16
P.-G. Reinhard,E. Suraud,16
Deshui Yu,Jingbiao Chen,1
C. I. Osorio,N. Bruno,22
C. I. Osorio,N. Sangouard,22
C. I. Osorio,H. Zbinden,22
C. I. Osorio,N. Gisin,22
C. I. Osorio,R. T. Thew,22
N. Bruno,N. Sangouard,22
N. Bruno,H. Zbinden,22
N. Bruno,N. Gisin,22
N. Bruno,R. T. Thew,22
N. Sangouard,H. Zbinden,22
N. Sangouard,N. Gisin,22
N. Sangouard,R. T. Thew,22
H. Zbinden,N. Gisin,22
H. Zbinden,R. T. Thew,22
N. Gisin,R. T. Thew,22
Danny Barash,Ann E. Orel,14
Danny Barash,Roi Baer,14
Ann E. Orel,Roi Baer,14
N. D. Gibson,C. W. Walter,26
N. D. Gibson,O. Zatsarinny,26
N. D. Gibson,T. W. Gorczyca,26
N. D. Gibson,G. D. Ackerman,26
N. D. Gibson,J. D. Bozek,26
N. D. Gibson,M. Martins,26
N. D. Gibson,B. M. McLaughlin,26
N. D. Gibson,N. Berrah,26
C. W. Walter,O. Zatsarinny,26
C. W. Walter,T. W. Gorczyca,26
C. W. Walter,G. D. Ackerman,26
C. W. Walter,J. D. Bozek,26
C. W. Walter,M. Martins,26
C. W. Walter,B. M. McLaughlin,26
C. W. Walter,N. Berrah,26
O. Zatsarinny,T. W. Gorczyca,26
O. Zatsarinny,G. D. Ackerman,26
O. Zatsarinny,J. D. Bozek,26
O. Zatsarinny,M. Martins,26
O. Zatsarinny,B. M. McLaughlin,26
O. Zatsarinny,N. Berrah,26
T. W. Gorczyca,G. D. Ackerman,26
T. W. Gorczyca,J. D. Bozek,26
T. W. Gorczyca,M. Martins,26
T. W. Gorczyca,B. M. McLaughlin,26
T. W. Gorczyca,N. Berrah,26
G. D. Ackerman,J. D. Bozek,26
G. D. Ackerman,M. Martins,26
G. D. Ackerman,B. M. McLaughlin,26
G. D. Ackerman,N. Berrah,26
J. D. Bozek,M. Martins,26
J. D. Bozek,B. M. McLaughlin,26
J. D. Bozek,N. Berrah,26
M. Martins,B. M. McLaughlin,26
M. Martins,N. Berrah,26
B. M. McLaughlin,N. Berrah,26
S. Dobosz,M. Lezius,73
S. Dobosz,M. Schmidt,73
S. Dobosz,P. Meynadier,73
S. Dobosz,M. Perdrix,73
S. Dobosz,D. Normand,73
S. Dobosz,J.-P. Rozet,73
S. Dobosz,D. Vernhet,73
M. Lezius,M. Schmidt,73
M. Lezius,P. Meynadier,73
M. Lezius,M. Perdrix,73
M. Lezius,D. Normand,73
M. Lezius,J.-P. Rozet,73
M. Lezius,D. Vernhet,73
M. Schmidt,P. Meynadier,73
M. Schmidt,M. Perdrix,73
M. Schmidt,D. Normand,73
M. Schmidt,J.-P. Rozet,73
M. Schmidt,D. Vernhet,73
P. Meynadier,M. Perdrix,73
P. Meynadier,D. Normand,73
P. Meynadier,J.-P. Rozet,73
P. Meynadier,D. Vernhet,73
M. Perdrix,D. Normand,73
M. Perdrix,J.-P. Rozet,73
M. Perdrix,D. Vernhet,73
D. Normand,J.-P. Rozet,73
D. Normand,D. Vernhet,73
J.-P. Rozet,D. Vernhet,73
Shuang-Wei Hu,Kang Xue,21
Shuang-Wei Hu,Mo-Lin Ge,21
Kang Xue,Mo-Lin Ge,21
K. V. P. Latha,P. R. Amjith,1
Bruno Eckhardt,Gabriel Hose,117
Bruno Eckhardt,Eli Pollak,117
Gabriel Hose,Eli Pollak,117
Mario Leandro Aolita,Ignacio García-Mata,13
Mario Leandro Aolita,Marcos Saraceno,13
Ignacio García-Mata,Marcos Saraceno,13
R. K. Nesbet,S. Geltman,2
Xun-Li Feng,Zhong-Yang Wang,6
Xun-Li Feng,Zhi-Zhan Xu,6
Zhong-Yang Wang,Zhi-Zhan Xu,6
A. C. Roy,A. K. Das,26
A. C. Roy,N. C. Sil,26
A. K. Das,N. C. Sil,26
Jeroen Dehaene,Bart De Moor,24
Zhicheng Xiao,Hailu Luo,2
Zhicheng Xiao,Shuangchun Wen,2
Hailu Luo,Shuangchun Wen,2
Y. Li,C. P. Sun,29
Martine Le Berre-Rousseau,Elisabeth Ressayre,12
Martine Le Berre-Rousseau,Andrée Tallet,12
Elisabeth Ressayre,Andrée Tallet,12
H. Aksela,J. Jauhiainen,30
H. Aksela,E. Nõmmiste,30
H. Aksela,S. Aksela,30
H. Aksela,S. Sundin,30
H. Aksela,A. Ausmees,30
H. Aksela,S. Svensson,30
J. Jauhiainen,E. Nõmmiste,30
J. Jauhiainen,S. Aksela,30
J. Jauhiainen,S. Sundin,30
J. Jauhiainen,A. Ausmees,30
J. Jauhiainen,S. Svensson,30
E. Nõmmiste,S. Aksela,30
E. Nõmmiste,S. Sundin,30
E. Nõmmiste,A. Ausmees,30
E. Nõmmiste,S. Svensson,30
S. Aksela,S. Sundin,30
S. Aksela,A. Ausmees,30
S. Aksela,S. Svensson,30
S. Sundin,A. Ausmees,30
S. Sundin,S. Svensson,30
A. Ausmees,S. Svensson,30
V. M. Akulin,V. Gershkovich,8
V. M. Akulin,G. Harel,8
V. Gershkovich,G. Harel,8
Glen L. Goodvin,Mark R. A. Shegelski,1
David L. Morgan, Jr.,43
David L. Morgan,Vernon W. Hughes,43
 Jr.,Vernon W. Hughes,43
B. Röhricht,P. Eschle,10
B. Röhricht,C. Wigger,10
B. Röhricht,S. Dangel,10
B. Röhricht,R. Holzner,10
B. Röhricht,D. Suter,10
P. Eschle,C. Wigger,10
P. Eschle,S. Dangel,10
P. Eschle,R. Holzner,10
P. Eschle,D. Suter,10
C. Wigger,S. Dangel,10
C. Wigger,R. Holzner,10
C. Wigger,D. Suter,10
S. Dangel,R. Holzner,10
S. Dangel,D. Suter,10
R. Holzner,D. Suter,10
M. J. Puska,R. M. Nieminen,16
E. Y. Kamber,O. Abu-Haija,9
E. Y. Kamber,S. M. Ferguson,9
O. Abu-Haija,S. M. Ferguson,9
Y. B. Band,M. Sokuler,4
J. Stein,D. Shalitin,17
J. Stein,Akiva Ron,17
D. Shalitin,Akiva Ron,17
Yueming Zhou,Qingbin Zhang,10
Yueming Zhou,Cheng Huang,10
Yueming Zhou,Peixiang Lu,10
Qingbin Zhang,Cheng Huang,10
Qingbin Zhang,Peixiang Lu,10
Cheng Huang,Peixiang Lu,10
H. Lebius,R. Minniti,3
H. Lebius,J. Y. Lim,3
H. Lebius,S. B. Elston,3
R. Minniti,J. Y. Lim,3
R. Minniti,S. B. Elston,3
J. Y. Lim,S. B. Elston,3
N. T. Padial,D. W. Norcross,59
G. C. Levine,B. A. Friedman,2
G. C. Levine,M. J. Bantegui,2
B. A. Friedman,M. J. Bantegui,2
Jérôme Lodewyck,Matthieu Bloch,78
Jérôme Lodewyck,Raúl García-Patrón,78
Jérôme Lodewyck,Simon Fossier,78
Jérôme Lodewyck,Evgueni Karpov,78
Jérôme Lodewyck,Eleni Diamanti,78
Jérôme Lodewyck,Thierry Debuisschert,78
Jérôme Lodewyck,Nicolas J. Cerf,78
Jérôme Lodewyck,Rosa Tualle-Brouri,78
Jérôme Lodewyck,Steven W. McLaughlin,78
Jérôme Lodewyck,Philippe Grangier,78
Matthieu Bloch,Raúl García-Patrón,78
Matthieu Bloch,Simon Fossier,78
Matthieu Bloch,Evgueni Karpov,78
Matthieu Bloch,Eleni Diamanti,78
Matthieu Bloch,Thierry Debuisschert,78
Matthieu Bloch,Nicolas J. Cerf,78
Matthieu Bloch,Rosa Tualle-Brouri,78
Matthieu Bloch,Steven W. McLaughlin,78
Matthieu Bloch,Philippe Grangier,78
Raúl García-Patrón,Simon Fossier,78
Raúl García-Patrón,Evgueni Karpov,78
Raúl García-Patrón,Eleni Diamanti,78
Raúl García-Patrón,Thierry Debuisschert,78
Raúl García-Patrón,Nicolas J. Cerf,78
Raúl García-Patrón,Rosa Tualle-Brouri,78
Raúl García-Patrón,Steven W. McLaughlin,78
Raúl García-Patrón,Philippe Grangier,78
Simon Fossier,Evgueni Karpov,78
Simon Fossier,Eleni Diamanti,78
Simon Fossier,Thierry Debuisschert,78
Simon Fossier,Nicolas J. Cerf,78
Simon Fossier,Rosa Tualle-Brouri,78
Simon Fossier,Steven W. McLaughlin,78
Simon Fossier,Philippe Grangier,78
Evgueni Karpov,Eleni Diamanti,78
Evgueni Karpov,Thierry Debuisschert,78
Evgueni Karpov,Nicolas J. Cerf,78
Evgueni Karpov,Rosa Tualle-Brouri,78
Evgueni Karpov,Steven W. McLaughlin,78
Evgueni Karpov,Philippe Grangier,78
Eleni Diamanti,Thierry Debuisschert,78
Eleni Diamanti,Nicolas J. Cerf,78
Eleni Diamanti,Rosa Tualle-Brouri,78
Eleni Diamanti,Steven W. McLaughlin,78
Eleni Diamanti,Philippe Grangier,78
Thierry Debuisschert,Nicolas J. Cerf,78
Thierry Debuisschert,Rosa Tualle-Brouri,78
Thierry Debuisschert,Steven W. McLaughlin,78
Thierry Debuisschert,Philippe Grangier,78
Nicolas J. Cerf,Rosa Tualle-Brouri,78
Nicolas J. Cerf,Steven W. McLaughlin,78
Nicolas J. Cerf,Philippe Grangier,78
Rosa Tualle-Brouri,Steven W. McLaughlin,78
Rosa Tualle-Brouri,Philippe Grangier,78
Steven W. McLaughlin,Philippe Grangier,78
A. Präkelt,M. Wollenhaupt,55
A. Präkelt,C. Sarpe-Tudoran,55
A. Präkelt,T. Baumert,55
M. Wollenhaupt,C. Sarpe-Tudoran,55
M. Wollenhaupt,T. Baumert,55
C. Sarpe-Tudoran,T. Baumert,55
Xin-You Lü,Pei Huang,14
Xin-You Lü,Wen-Xing Yang,14
Xin-You Lü,Xiaoxue Yang,14
Pei Huang,Wen-Xing Yang,14
Pei Huang,Xiaoxue Yang,14
Wen-Xing Yang,Xiaoxue Yang,14
R. Feifel,K. Ueda,8
R. Feifel,A. De Fanis,8
R. Feifel,K. Okada,8
R. Feifel,S. Tanimoto,8
R. Feifel,T. Furuta,8
R. Feifel,H. Shindo,8
R. Feifel,M. Kitajima,8
R. Feifel,H. Tanaka,8
R. Feifel,O. Björneholm,8
R. Feifel,L. Karlsson,8
R. Feifel,S. Svensson,8
R. Feifel,S. L. Sorensen,8
K. Ueda,A. De Fanis,8
K. Ueda,K. Okada,8
K. Ueda,S. Tanimoto,8
K. Ueda,T. Furuta,8
K. Ueda,H. Shindo,8
K. Ueda,M. Kitajima,8
K. Ueda,H. Tanaka,8
K. Ueda,O. Björneholm,8
K. Ueda,L. Karlsson,8
K. Ueda,S. Svensson,8
K. Ueda,S. L. Sorensen,8
A. De Fanis,K. Okada,8
A. De Fanis,S. Tanimoto,8
A. De Fanis,T. Furuta,8
A. De Fanis,H. Shindo,8
A. De Fanis,M. Kitajima,8
A. De Fanis,H. Tanaka,8
A. De Fanis,O. Björneholm,8
A. De Fanis,L. Karlsson,8
A. De Fanis,S. Svensson,8
A. De Fanis,S. L. Sorensen,8
K. Okada,S. Tanimoto,8
K. Okada,T. Furuta,8
K. Okada,H. Shindo,8
K. Okada,M. Kitajima,8
K. Okada,H. Tanaka,8
K. Okada,O. Björneholm,8
K. Okada,L. Karlsson,8
K. Okada,S. Svensson,8
K. Okada,S. L. Sorensen,8
S. Tanimoto,T. Furuta,8
S. Tanimoto,H. Shindo,8
S. Tanimoto,M. Kitajima,8
S. Tanimoto,H. Tanaka,8
S. Tanimoto,O. Björneholm,8
S. Tanimoto,L. Karlsson,8
S. Tanimoto,S. Svensson,8
S. Tanimoto,S. L. Sorensen,8
T. Furuta,H. Shindo,8
T. Furuta,M. Kitajima,8
T. Furuta,H. Tanaka,8
T. Furuta,O. Björneholm,8
T. Furuta,L. Karlsson,8
T. Furuta,S. Svensson,8
T. Furuta,S. L. Sorensen,8
H. Shindo,M. Kitajima,8
H. Shindo,H. Tanaka,8
H. Shindo,O. Björneholm,8
H. Shindo,L. Karlsson,8
H. Shindo,S. Svensson,8
H. Shindo,S. L. Sorensen,8
M. Kitajima,H. Tanaka,8
M. Kitajima,O. Björneholm,8
M. Kitajima,L. Karlsson,8
M. Kitajima,S. Svensson,8
M. Kitajima,S. L. Sorensen,8
H. Tanaka,O. Björneholm,8
H. Tanaka,L. Karlsson,8
H. Tanaka,S. Svensson,8
H. Tanaka,S. L. Sorensen,8
O. Björneholm,L. Karlsson,8
O. Björneholm,S. Svensson,8
O. Björneholm,S. L. Sorensen,8
L. Karlsson,S. Svensson,8
L. Karlsson,S. L. Sorensen,8
S. Svensson,S. L. Sorensen,8
S. A. Lawton,F. M. J. Pichanick,13
Jun-Tao Chang,M. Suhail Zubairy,13
Magnus Rittby,Nils Elander,41
Magnus Rittby,Erkki Brändas,41
Nils Elander,Erkki Brändas,41
M. Tokman,N. Eklöw,40
M. Tokman,P. Glans,40
M. Tokman,E. Lindroth,40
M. Tokman,R. Schuch,40
M. Tokman,G. Gwinner,40
M. Tokman,D. Schwalm,40
M. Tokman,A. Wolf,40
M. Tokman,A. Hoffknecht,40
M. Tokman,A. Müller,40
M. Tokman,S. Schippers,40
N. Eklöw,P. Glans,40
N. Eklöw,E. Lindroth,40
N. Eklöw,R. Schuch,40
N. Eklöw,G. Gwinner,40
N. Eklöw,D. Schwalm,40
N. Eklöw,A. Wolf,40
N. Eklöw,A. Hoffknecht,40
N. Eklöw,A. Müller,40
N. Eklöw,S. Schippers,40
P. Glans,E. Lindroth,40
P. Glans,R. Schuch,40
P. Glans,G. Gwinner,40
P. Glans,D. Schwalm,40
P. Glans,A. Wolf,40
P. Glans,A. Hoffknecht,40
P. Glans,A. Müller,40
P. Glans,S. Schippers,40
E. Lindroth,R. Schuch,40
E. Lindroth,G. Gwinner,40
E. Lindroth,D. Schwalm,40
E. Lindroth,A. Wolf,40
E. Lindroth,A. Hoffknecht,40
E. Lindroth,A. Müller,40
E. Lindroth,S. Schippers,40
R. Schuch,G. Gwinner,40
R. Schuch,D. Schwalm,40
R. Schuch,A. Wolf,40
R. Schuch,A. Hoffknecht,40
R. Schuch,A. Müller,40
R. Schuch,S. Schippers,40
G. Gwinner,D. Schwalm,40
G. Gwinner,A. Wolf,40
G. Gwinner,A. Hoffknecht,40
G. Gwinner,A. Müller,40
G. Gwinner,S. Schippers,40
D. Schwalm,A. Wolf,40
D. Schwalm,A. Hoffknecht,40
D. Schwalm,A. Müller,40
D. Schwalm,S. Schippers,40
A. Wolf,A. Hoffknecht,40
A. Wolf,A. Müller,40
A. Wolf,S. Schippers,40
A. Hoffknecht,A. Müller,40
A. Hoffknecht,S. Schippers,40
A. Müller,S. Schippers,40
Darragh P. O?Neill,Peter M. W. Gill,32
T. P. Grozdanov,E. A. Solov?ev,14
M. Iskin,A. L. Subasi,19
Ronald F. Fox,John C. Eidson,23
V. I. Yukalov,E. P. Yukalova,13
R. W. M. Hoogeveen,G. J. van der Meer,29
R. W. M. Hoogeveen,L. J. F. Hermans,29
G. J. van der Meer,L. J. F. Hermans,29
Yuzhen Shen,G. L. Carr,9
Yuzhen Shen,James B. Murphy,9
Yuzhen Shen,Thomas Y. Tsang,9
Yuzhen Shen,Xijie Wang,9
Yuzhen Shen,Xi Yang,9
G. L. Carr,James B. Murphy,9
G. L. Carr,Thomas Y. Tsang,9
G. L. Carr,Xijie Wang,9
G. L. Carr,Xi Yang,9
James B. Murphy,Thomas Y. Tsang,9
James B. Murphy,Xijie Wang,9
James B. Murphy,Xi Yang,9
Thomas Y. Tsang,Xijie Wang,9
Thomas Y. Tsang,Xi Yang,9
Xijie Wang,Xi Yang,9
K. A. Woodle,A. Badertscher,11
K. A. Woodle,V. W. Hughes,11
K. A. Woodle,D. C. Lu,11
K. A. Woodle,M. W. Ritter,11
K. A. Woodle,M. Gladisch,11
K. A. Woodle,H. Orth,11
K. A. Woodle,G. zu Putlitz,11
K. A. Woodle,M. Eckhause,11
K. A. Woodle,J. Kane,11
K. A. Woodle,F. G. Mariam,11
A. Badertscher,V. W. Hughes,11
A. Badertscher,D. C. Lu,11
A. Badertscher,M. W. Ritter,11
A. Badertscher,M. Gladisch,11
A. Badertscher,H. Orth,11
A. Badertscher,G. zu Putlitz,11
A. Badertscher,M. Eckhause,11
A. Badertscher,J. Kane,11
A. Badertscher,F. G. Mariam,11
V. W. Hughes,D. C. Lu,11
V. W. Hughes,M. W. Ritter,11
V. W. Hughes,M. Gladisch,11
V. W. Hughes,H. Orth,11
V. W. Hughes,G. zu Putlitz,11
V. W. Hughes,M. Eckhause,11
V. W. Hughes,J. Kane,11
V. W. Hughes,F. G. Mariam,11
D. C. Lu,M. W. Ritter,11
D. C. Lu,M. Gladisch,11
D. C. Lu,H. Orth,11
D. C. Lu,G. zu Putlitz,11
D. C. Lu,M. Eckhause,11
D. C. Lu,J. Kane,11
D. C. Lu,F. G. Mariam,11
M. W. Ritter,M. Gladisch,11
M. W. Ritter,H. Orth,11
M. W. Ritter,G. zu Putlitz,11
M. W. Ritter,M. Eckhause,11
M. W. Ritter,J. Kane,11
M. W. Ritter,F. G. Mariam,11
M. Gladisch,H. Orth,11
M. Gladisch,G. zu Putlitz,11
M. Gladisch,M. Eckhause,11
M. Gladisch,J. Kane,11
M. Gladisch,F. G. Mariam,11
H. Orth,G. zu Putlitz,11
H. Orth,M. Eckhause,11
H. Orth,J. Kane,11
H. Orth,F. G. Mariam,11
G. zu Putlitz,M. Eckhause,11
G. zu Putlitz,J. Kane,11
G. zu Putlitz,F. G. Mariam,11
M. Eckhause,J. Kane,11
M. Eckhause,F. G. Mariam,11
J. Kane,F. G. Mariam,11
Denis Sheka,Boris Ivanov,4
Denis Sheka,Franz G. Mertens,4
Boris Ivanov,Franz G. Mertens,4
C. Schenke,A. Minguzzi,1
C. Schenke,F. W. J. Hekking,1
A. Minguzzi,F. W. J. Hekking,1
M. A. Vincenti,D. de Ceglia,15
M. A. Vincenti,A. Ciattoni,15
M. A. Vincenti,M. Scalora,15
D. de Ceglia,A. Ciattoni,15
D. de Ceglia,M. Scalora,15
A. Ciattoni,M. Scalora,15
Robert R. Lucchese,Vincent McKoy,22
S. Mannervik,S. Asp,23
S. Mannervik,L. Broström,23
S. Mannervik,D. R. DeWitt,23
S. Mannervik,J. Lidberg,23
S. Mannervik,R. Schuch,23
S. Mannervik,K. T. Chung,23
S. Asp,L. Broström,23
S. Asp,D. R. DeWitt,23
S. Asp,J. Lidberg,23
S. Asp,R. Schuch,23
S. Asp,K. T. Chung,23
L. Broström,D. R. DeWitt,23
L. Broström,J. Lidberg,23
L. Broström,R. Schuch,23
L. Broström,K. T. Chung,23
D. R. DeWitt,J. Lidberg,23
D. R. DeWitt,R. Schuch,23
D. R. DeWitt,K. T. Chung,23
J. Lidberg,R. Schuch,23
J. Lidberg,K. T. Chung,23
R. Schuch,K. T. Chung,23
J. M. Christian,G. S. McDonald,15
J. M. Christian,P. Chamorro-Posada,15
G. S. McDonald,P. Chamorro-Posada,15
V. Kushawaha,A. Michael,8
V. Kushawaha,M. Mahmood,8
A. Michael,M. Mahmood,8
K. Hoffmann,B. Murphy,1
K. Hoffmann,N. Kandadai,1
K. Hoffmann,B. Erk,1
K. Hoffmann,A. Helal,1
K. Hoffmann,J. Keto,1
K. Hoffmann,T. Ditmire,1
B. Murphy,N. Kandadai,1
B. Murphy,B. Erk,1
B. Murphy,A. Helal,1
B. Murphy,J. Keto,1
B. Murphy,T. Ditmire,1
N. Kandadai,B. Erk,1
N. Kandadai,A. Helal,1
N. Kandadai,J. Keto,1
N. Kandadai,T. Ditmire,1
B. Erk,A. Helal,1
B. Erk,J. Keto,1
B. Erk,T. Ditmire,1
A. Helal,J. Keto,1
A. Helal,T. Ditmire,1
J. Keto,T. Ditmire,1
G. Reisfeld,U. Asaf,6
Akira Kitagawa,Masahiro Takeoka,81
Akira Kitagawa,Masahide Sasaki,81
Akira Kitagawa,Anthony Chefles,81
Masahiro Takeoka,Masahide Sasaki,81
Masahiro Takeoka,Anthony Chefles,81
Masahide Sasaki,Anthony Chefles,81
Qi Zhang,Jiangbin Gong,15
Qi Zhang,C. H. Oh,15
Jiangbin Gong,C. H. Oh,15
Asoka Biswas,G. S. Agarwal,48
A. O. Barut,Nuri Unal,22
J. C. Moreno,S. Goldsmith,3
J. C. Moreno,H. R. Griem,3
J. C. Moreno,Leonard Cohen,3
J. C. Moreno,R. Epstein,3
J. C. Moreno,D. Bradley,3
J. C. Moreno,P. A. Jaanimagi,3
J. C. Moreno,J. Knauer,3
S. Goldsmith,H. R. Griem,3
S. Goldsmith,Leonard Cohen,3
S. Goldsmith,R. Epstein,3
S. Goldsmith,D. Bradley,3
S. Goldsmith,P. A. Jaanimagi,3
